popularity,source_package,binary_package,script,already_done
,gnocchi,gnocchi-metricd,gnocchi-metricd,1
,gnocchi,gnocchi-statsd,gnocchi-statsd,1
,heat,heat-api,heat-api,1
,heat,heat-api-cfn,heat-api-cfn,1
,heat,heat-engine,heat-engine,1
,wpa,hostapd,hostapd,1
,linux,hyperv-daemons,hv-fcopy-daemon,1
,linux,hyperv-daemons,hv-kvp-daemon,1
,linux,hyperv-daemons,hv-vss-daemon,1
,ikiwiki-hosting,ikiwiki-hosting-web,ikiwiki-hosting-web,1
,up-imapproxy,imapproxy,imapproxy,1
,ironic,ironic-api,ironic-api,1
,ironic,ironic-conductor,ironic-conductor,1
,networking-baremetal,ironic-neutron-agent,ironic-neutron-agent,1
,open-isns,open-isns-server,isnsd,1
,open-isns,open-isns-discoveryd,isnsdd,1
,jool,jool-tools,jool,1
,jool,jool-tools,jool_siit,1
,homer-api,homer-api,kamailio-homer,1
,krb5,krb5-admin-server,krb5-admin-server,1
,krb5,krb5-kdc,krb5-kdc,1
,krb5,krb5-kpropd,krb5-kpropd,1
,kup,kup-server,kup-server,1
,kxd,kxd,kxd,1
,lbcd,lbcd,lbcd,1
,ltt-control,lttng-tools,lttng-sessiond,1
,mailman-suite,mailman3-web,mailman3-web,1
,manila,manila-api,manila-api,1
,manila,manila-data,manila-data,1
,manila,manila-scheduler,manila-scheduler,1
,manila,manila-share,manila-share,1
,mariadb,mariadb-server,mariadb,1
,masakari,masakari-api,masakari-api,1
,masakari,masakari-engine,masakari-engine,1
,masakari-monitors,masakari-host-monitor,masakari-host-monitor,1
,masakari-monitors,masakari-instance-monitor,masakari-instance-monitor,1
,masakari-monitors,masakari-introspective-instance-monitor,masakari-introspective-instance-monitor,1
,masakari-monitors,masakari-process-monitor,masakari-process-monitor,1
,mistral,mistral-api,mistral-api,1
,mistral,mistral-engine,mistral-engine,1
,mistral,mistral-event-engine,mistral-event-engine,1
,mistral,mistral-executor,mistral-executor,1
,etbemon,mon,mon,1
,moosefs,moosefs-cgiserv,moosefs-cgiserv,1
,moosefs,moosefs-chunkserver,moosefs-chunkserver,1
,moosefs,moosefs-master,moosefs-master,1
,moosefs,moosefs-metalogger,moosefs-metalogger,1
,murano-agent,murano-agent,murano-agent,1
,murano,murano-api,murano-api,1
,murano,murano-cfapi,murano-cfapi,1
,murano,murano-engine,murano-engine,1
,nagios-nrpe,nagios-nrpe-server,nagios-nrpe-server,1
,nbd,nbd-client,nbd-client,1
,neutron,neutron-api,neutron-api,1
,neutron-dynamic-routing,neutron-bgp-dragent,neutron-bgp-dragent,1
,neutron,neutron-dhcp-agent,neutron-dhcp-agent,1
,networking-l2gw,neutron-l2gateway-agent,neutron-l2gateway-agent,1
,neutron,neutron-l3-agent,neutron-l3-agent,1
,neutron,neutron-linuxbridge-agent,neutron-linuxbridge-agent,1
,neutron,neutron-macvtap-agent,neutron-macvtap-agent,1
,neutron,neutron-metadata-agent,neutron-metadata-agent,1
,neutron,neutron-metering-agent,neutron-metering-agent,1
,neutron,neutron-openvswitch-agent,neutron-openvswitch-agent,1
,neutron,neutron-ovn-metadata-agent,neutron-ovn-metadata-agent,1
,neutron,neutron-rpc-server,neutron-rpc-server,1
,neutron,neutron-sriov-agent,neutron-sriov-agent,1
,neutron-taas,neutron-taas-openvswitch-agent,neutron-taas-openvswitch-agent,1
,neutron-vpnaas,neutron-vpnaas-vyatta-agent,neutron-vpnaas-vyatta-agent,1
,nfs-utils,nfs-common,nfs-common,1
,nfs-utils,nfs-kernel-server,nfs-kernel-server,1
,nova,nova-api,nova-api,1
,nova,nova-api,nova-api-metadata,1
,nova,nova-compute,nova-compute,1
,nova,nova-conductor,nova-conductor,1
,nova,nova-consoleproxy,nova-novncproxy,1
,nova,nova-scheduler,nova-scheduler,1
,nova,nova-consoleproxy,nova-serialproxy,1
,nova,nova-consoleproxy,nova-spicehtml5proxy,1
,nsca-ng,nsca-ng-server,nsca-ng-server,1
,glibc,nscd,nscd,1
,octavia,octavia-agent,octavia-agent,1
,octavia,octavia-agent,octavia-agent-certs-ramfs,1
,octavia,octavia-agent,octavia-agent-netns,1
,octavia,octavia-api,octavia-api,1
,octavia,octavia-driver-agent,octavia-driver-agent,1
,octavia,octavia-health-manager,octavia-health-manager,1
,octavia,octavia-housekeeping,octavia-housekeeping,1
,octavia,octavia-worker,octavia-worker,1
,openafs,openafs-client,openafs-client,1
,openafs,openafs-fileserver,openafs-fileserver,1
,openvswitch,openvswitch-ipsec,openvswitch-ipsec,1
,openvswitch,openvswitch-switch,openvswitch-switch,1
,placement,placement-api,placement-api,1
,proftpd-dfsg,proftpd-core,proftpd,1
,spf-engine,pyspf-milter,pyspf-milter,1
,iortcw,rtcw-server,rtcw-server,1
,sane-backends,sane-utils,saned,1
,zvmcloudconnector,zvmcloudconnector-api,sdkserver,1
,senlin,senlin-api,senlin-api,1
,senlin,senlin-conductor,senlin-conductor,1
,senlin,senlin-engine,senlin-engine,1
,senlin,senlin-health-manager,senlin-health-manager,1
,golang-github-hashicorp-serf,serf,serf,1
,shibboleth-sp,shibboleth-sp-utils,shibd,1
,node-shiny-server,shiny-server,shiny-server,1
,snapcast,snapclient,snapclient,1
,snapcast,snapserver,snapserver,1
,sndio,sndiod,sndiod,1
,net-snmp,snmpd,snmpd,1
,net-snmp,snmptrapd,snmptrapd,1
,softether-vpn,softether-vpnserver,softether-vpnserver,1
,courier,sqwebmail,sqwebmail,1
,svxlink,svxlink-server,svxlink,1
,svxlink,svxreflector,svxreflector,1
,tcmu,tcmu-runner,tcmu-runner,1
,moonshot-trust-router,moonshot-trust-router,tids,1
,openstack-trove,trove-api,trove-api,1
,openstack-trove,trove-conductor,trove-conductor,1
,openstack-trove,trove-guestagent,trove-guestagent,1
,openstack-trove,trove-taskmanager,trove-taskmanager,1
,golang-v2ray-core,v2ray,v2ray,1
,victoriametrics,victoria-metrics,victoria-metrics,1
,vitrage,vitrage-api,vitrage-api,1
,vitrage,vitrage-collector,vitrage-collector,1
,vitrage,vitrage-graph,vitrage-graph,1
,vitrage,vitrage-ml,vitrage-ml,1
,vitrage,vitrage-notifier,vitrage-notifier,1
,vitrage,vitrage-persistor,vitrage-persistor,1
,vitrage,vitrage-snmp-parsing,vitrage-snmp-parsing,1
,watcher,watcher-api,watcher-api,1
,watcher,watcher-applier,watcher-applier,1
,watcher,watcher-decision-engine,watcher-decision-engine,1
,zaqar,zaqar-server,zaqar-server,1
,zfs-linux,zfsutils-linux,zfs-import,1
,zfs-linux,zfsutils-linux,zfs-load-key,1
,zfs-linux,zfsutils-linux,zfs-mount,1
,zfs-linux,zfsutils-linux,zfs-share,1
,zfs-linux,zfs-zed,zfs-zed,1
34,util-linux,uuid-runtime,uuidd,1
67,cron,cron,cron,1
118,ifupdown,ifupdown,networking,1
132,dbus,dbus,dbus,1
157,systemd,udev,udev,1
253,sudo,sudo,sudo,1
267,apparmor,apparmor,apparmor,1
540,rsync,rsync,rsync,1
